PROFICIENCIA_LP_SAEB,PROFICIENCIA_MT_SAEB,ERRO_PADRAO_LP_SAEB,ERRO_PADRAO_MT_SAEB,INSE_ALUNO,ID_SERIE,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,IN_PUBLICA,ID_LOCALIZACAO,TX_RESP_Q01,TX_RESP_Q02,TX_RESP_Q04,TX_RESP_Q12b,TX_RESP_Q13b,TX_RESP_Q12f
210.185104,269.318553,32.460789,39.455792,6.21,12,2,29,6324004,2,1,1,A,C,C,D,B,C
,,,,,12,3,35,6325701,2,1,1,.,.,.,.,.,.
163.825141,232.015622,34.589597,33.774672,4.97,12,3,35,6326006,2,1,1,B,B,C,B,B,A
297.54417,262.642494,18.796533,34.73289,4.21,12,2,25,6323507,1,1,1,B,C,B,A,B,A
,,,,,12,3,35,6325757,2,1,1,.,.,.,.,.,.
277.025033,266.663723,19.721551,29.535798,4.03,12,1,15,6322353,2,1,1,A,B,F,A,B,A
,,,,,12,3,31,6324479,1,1,1,.,.,.,.,.,.
,,,,,12,2,23,6323079,2,1,2,.,.,.,.,.,.
314.684982,220.308024,19.664749,38.459399,,12,2,25,6323507,1,1,1,B,B,A,.,.,.
278.309975,240.281035,19.200037,35.781039,4.9,12,5,53,6327738,1,1,1,B,B,A,B,B,B
,,,,,12,2,21,6322762,2,1,1,.,.,.,.,.,.
310.007115,247.418821,20.000158,36.253497,5.24,12,4,43,6326958,2,1,1,B,B,A,B,B,B
,,,,,12,3,35,6325767,2,1,1,.,.,.,.,.,.
196.969804,251.372532,31.927926,38.657873,5.64,12,3,35,6325999,1,1,1,A,C,C,A,B,B
341.042529,290.043148,22.845069,25.869205,3.7,12,1,13,6322281,1,1,1,A,C,A,A,B,A
263.438624,235.709713,20.825622,38.600359,3.18,12,2,26,6323642,2,1,2,A,C,C,A,A,A
263.166187,226.534429,18.326366,36.69281,4.8,12,3,35,6325999,1,1,1,B,C,C,B,B,B
367.542106,374.99971,23.472472,16.957956,5.29,13,3,35,6325455,2,1,1,A,B,A,B,B,B
372.107968,309.675385,24.355123,30.274247,4.85,12,3,35,6325780,2,1,1,B,C,A,A,B,A
156.158734,173.781014,33.173973,35.550036,,12,2,23,6323226,2,1,1,A,B,D,*,*,*
228.963511,295.741483,23.009798,30.434323,5.98,12,4,41,6326175,1,1,1,A,B,A,B,B,B
255.444687,257.41399,19.310003,32.587575,4.75,12,4,42,6326651,2,1,1,B,B,C,B,B,B
243.432957,221.783749,26.172873,39.571936,4.41,12,3,35,6325999,1,1,1,A,C,C,A,B,.
,,,,,12,3,35,6325896,2,1,1,.,.,.,.,.,.
218.315893,274.161232,24.124006,36.369864,5.07,12,3,35,6326066,2,1,1,A,C,C,B,B,B
235.570803,295.936603,23.919169,25.937058,3.66,12,1,13,6322255,2,1,1,B,C,C,A,A,A
